geoid_o,geoid_d,month_year,visitor_flows,pop_flows,date_range
25025000202,25025000703,2021-12,8,425.0,12/06/21 - 12/12/21
25025000202,25025000704,2021-01,12,624.0,01/04/21 - 01/10/21
25025000202,25025000704,2021-02,20,1219.0,02/01/21 - 02/07/21
25025000202,25025000704,2021-03,8,435.0,03/01/21 - 03/07/21
25025000202,25025000704,2021-04,8,460.0,04/12/21 - 04/18/21
25025000202,25025000704,2021-05,8,452.0,05/10/21 - 05/16/21
25025000202,25025000704,2021-06,20,1211.0,06/14/21 - 06/20/21
25025000202,25025000704,2021-07,16,1001.0,07/12/21 - 07/18/21
25025000202,25025000704,2021-08,24,1637.0,08/02/21 - 08/08/21
25025000202,25025000704,2021-09,16,958.0,09/06/21 - 09/12/21
25025000202,25025000704,2021-10,23,1346.0,10/04/21 - 10/10/21
25025000202,25025000704,2021-11,16,785.0,11/15/21 - 11/21/21
25025000202,25025000704,2021-12,12,645.0,12/06/21 - 12/12/21
25025000202,25025010103,2021-06,16,976.0,06/21/21 - 06/27/21
25025000202,25025010103,2021-09,12,832.0,09/06/21 - 09/12/21
25025000202,25025010103,2021-11,32,1778.0,11/01/21 - 11/07/21
25025000202,25025010103,2021-12,24,1295.0,12/06/21 - 12/12/21
25025000202,25025010104,2021-04,8,438.0,04/19/21 - 04/25/21
25025000202,25025010104,2021-08,16,1110.0,08/02/21 - 08/08/21
25025000202,25025010104,2021-10,25,1478.0,10/11/21 - 10/17/21
25025000202,25025010204,2021-01,8,432.0,01/11/21 - 01/17/21
25025000202,25025010204,2021-02,12,726.0,02/01/21 - 02/07/21
25025000202,25025010204,2021-04,16,844.0,04/12/21 - 04/18/21
25025000202,25025010204,2021-05,24,1309.0,05/10/21 - 05/16/21
25025000202,25025010204,2021-08,16,1069.0,08/02/21 - 08/08/21
25025000202,25025010204,2021-09,21,1315.0,09/06/21 - 09/12/21
25025000202,25025010204,2021-12,24,1260.0,12/13/21 - 12/19/21
25025000202,25025010300,2021-01,9,477.0,01/18/21 - 01/24/21
25025000202,25025010300,2021-03,12,656.0,03/08/21 - 03/14/21
25025000202,25025010300,2021-10,8,442.0,10/04/21 - 10/10/21
25025000202,25025010300,2021-11,16,894.0,11/08/21 - 11/14/21
25025000202,25025010403,2021-11,12,703.0,11/01/21 - 11/07/21
25025000202,25025010404,2021-09,8,511.0,09/06/21 - 09/12/21
25025000202,25025010404,2021-11,8,471.0,11/01/21 - 11/07/21
25025000202,25025010405,2021-09,24,1393.0,09/13/21 - 09/19/21
25025000202,25025010405,2021-10,12,707.0,10/11/21 - 10/17/21
25025000202,25025010405,2021-11,20,1210.0,11/01/21 - 11/07/21
25025000202,25025010405,2021-12,12,633.0,12/06/21 - 12/12/21
25025000202,25025010600,2021-03,8,416.0,03/01/21 - 03/07/21
25025000202,25025010600,2021-04,24,1308.0,04/05/21 - 04/11/21
25025000202,25025010600,2021-08,8,522.0,08/09/21 - 08/15/21
25025000202,25025010600,2021-09,24,1545.0,09/06/21 - 09/12/21
25025000202,25025010600,2021-10,12,663.0,10/04/21 - 10/10/21
25025000202,25025010600,2021-11,17,866.0,11/15/21 - 11/21/21
25025000202,25025010600,2021-12,17,896.0,12/13/21 - 12/19/21
25025000202,25025010701,2021-04,9,500.0,04/19/21 - 04/25/21
25025000202,25025010701,2021-05,8,448.0,05/17/21 - 05/23/21
25025000202,25025010702,2021-05,25,1412.0,05/10/21 - 05/16/21
25025000202,25025010702,2021-06,12,704.0,06/07/21 - 06/13/21
25025000202,25025010702,2021-07,25,1490.0,07/05/21 - 07/11/21
